[0.000000] (-) TimerEvent: {}
[0.000097] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000121] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000137] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000152] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000165] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000178] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000191] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.000205] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.000217] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.000230] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.000243] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.000256] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.000269] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.000281] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.000294] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.000307] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.000319] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.000332] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.000345] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.000360] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.000374] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.000386] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.000399] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.000411] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.000424] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.000437] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.000449] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.000462] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.000474] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.000487] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.000499] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.000512] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.000524] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.000537] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.000549] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.000562] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.000574] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.000587] (-) JobUnselected: {'identifier': 'navigation2'}
[0.000600] (-) EventReactorShutdown: {}
